name	site	type	phone	full_address	latitude	longitude	rating	working_hours
החבית	https://israelbusinessguide.com/catalog/hayfa/hahavit/	מסעדה	+972 4-852-2215	דוד אלעזר 5 חיפה	32.794135	34.9562265	4.1	"{"יום שני": "9:00-23:00", "יום שלישי": "9:00-23:00", "יום רביעי": "9:00-23:00", "יום חמישי": "9:00-23:00", "יום שישי": "9:00-23:00", "יום שבת": "9:00-23:00", "יום ראשון": "9:00-23:00"}"
ויוינו	https://www.vivino.co.il/haifa1	מסעדה איטלקית	+972 4-822-9454	Elizabeth Squre 1 חיפה	32.7867204	34.9989076	4.6	"{"יום שני": "12:00-23:00", "יום שלישי": "12:00-23:00", "יום רביעי": "12:00-23:00", "יום חמישי": "12:00-23:00", "יום שישי": "12:00-23:00", "יום שבת": "12:00-23:00", "יום ראשון": "12:00-23:00"}"
מינה טומיי - Minna Tomei חיפה מרכז קסטרא	http://www.minna-tomei.co.il/	מסעדה אסייתית	+972 4-666-8080	מרכז קסטרא דרך משה פלימן 8 חיפה	32.7879648	34.9690023	4.5	"{"יום שני": "12:00-23:00", "יום שלישי": "12:00-23:00", "יום רביעי": "12:00-23:00", "יום חמישי": "12:00-23:00", "יום שישי": "12:00-23:00", "יום שבת": "12:00-23:00", "יום ראשון": "12:00-23:00"}"
פאט ויני חיפה קניון עזריאלי	https://www.fatvinny.com/	מסעדה איטלקית	+972 77-938-6281	בקניון עזריאלי דרך משה פלימן 4 חיפה 3508416	32.7894818	34.9660582	4.5	"{"יום שני": "12:00-23:00", "יום שלישי": "12:00-23:00", "יום רביעי": "12:00-23:00", "יום חמישי": "12:00-23:00", "יום שישי": "12:00-23:00", "יום שבת": "12:00-23:00", "יום ראשון": "9:00-23:00"}"
מסעדת אלנבי مطعم اللنبي		מסעדה	+972 4-852-9928	דרך אלנבי 43 חיפה	32.8187631	34.9926622	4.2	"{"יום שני": "8:00-20:00", "יום שלישי": "8:00-20:00", "יום רביעי": "8:00-20:00", "יום חמישי": "8:00-20:00", "יום שישי": "8:00-20:00", "יום שבת": "8:00-20:00", "יום ראשון": "סגור"}"
מסעדת הנמל 24	https://www.hanamal24.co.il/	מסעדה צרפתית	+972 4-862-8899	עומר אל כיאם 12 חיפה	32.8141222	34.9988457	4.4	"{"יום שני": "סגור", "יום שלישי": "סגור", "יום רביעי": "18:00-0:00", "יום חמישי": "18:00-0:00", "יום שישי": "13:00-15:30,18:00-0:00", "יום שבת": "13:00-15:30,18:00-0:00", "יום ראשון": "סגור"}"
מסעדת מצה	http://mazarestaurant.net/	מסעדה ים-תיכונית	+972 4-824-7399	מתחם תחנת דלק דרך רופין חיפה	32.7888442	35.002832	4.1	"{"יום שני": "8:30-21:30", "יום שלישי": "8:30-21:30", "יום רביעי": "8:30-21:30", "יום חמישי": "8:30-21:30", "יום שישי": "8:30-21:30", "יום שבת": "8:30-21:30", "יום ראשון": "10:00-18:00"}"
מסעדת שוואטינא - בת גלים	https://tabitisrael.co.il/%D7%94%D7%96%D7%9E%D7%A0%D7%AA-%D7%9E%D7%A7%D7%95%D7%9D/create-reservation?step=search	מסעדה	+972 4-833-3037	העלייה השנייה 96 חיפה	32.8313784	34.970442	4.3	"{"יום שני": "11:00-23:00", "יום שלישי": "11:00-23:00", "יום רביעי": "11:00-23:00", "יום חמישי": "11:00-23:00", "יום שישי": "11:00-23:00", "יום שבת": "11:00-23:00", "יום ראשון": "11:00-23:00"}"
מסעדת קלמאריס	https://israelbusinessguide.com/catalog/hayfa/kalamaris--haifa/	מסעדה	+972 4-831-4908	דרך סטלה מריס 100 חיפה	32.8280188	34.9700524	4.5	"{"יום שני": "12:00-23:00", "יום שלישי": "12:00-23:00", "יום רביעי": "12:00-23:00", "יום חמישי": "12:00-23:00", "יום שישי": "12:00-23:00", "יום שבת": "12:00-23:00", "יום ראשון": "12:00-23:00"}"
ג'ירף אוכל אסייתי	https://giraffe.co.il/	מסעדה אסייתית	+972 3-545-3013	131 Hanasi BLV חיפה	32.8034221	34.9869677	4.3	"{"יום שני": "12:00-22:30", "יום שלישי": "12:00-22:30", "יום רביעי": "12:00-22:30", "יום חמישי": "12:00-22:30", "יום שישי": "12:00-22:30", "יום שבת": "12:00-22:30", "יום ראשון": "12:00-22:30"}"
גולדן קוראל- Golden Coral		מסעדה ים-תיכונית	+972 4-831-4399	דרך סטלה מריס 100 חיפה	32.8280906	34.9700851	4.6	"{"יום שני": "12:15-23:00", "יום שלישי": "12:15-23:00", "יום רביעי": "12:15-23:00", "יום חמישי": "12:15-23:00", "יום שישי": "12:00-0:00", "יום שבת": "12:15-23:00", "יום ראשון": "12:15-23:00"}"
טאיפיי	https://taipei.co.il/	מסעדה סינית	+972 4-838-3800	יפה נוף 108 חיפה 3464118	32.8064284	34.9880437	3.8	"{"יום שני": "12:00-22:30", "יום שלישי": "12:00-22:30", "יום רביעי": "12:00-22:30", "יום חמישי": "12:00-22:30", "יום שישי": "12:00-22:30", "יום שבת": "12:00-22:30", "יום ראשון": "12:00-22:30"}"
מסעדת סטאר - אחים יוסף	https://restaurantguru.com/msedt-abv-ivsp-Haifa-2	מסעדה	+972 4-864-0666	שדרות המגינים 19 חיפה	32.8178117	34.9988258	4.4	"{"יום שני": "9:00-23:30", "יום שלישי": "9:00-23:30", "יום רביעי": "9:00-23:30", "יום חמישי": "9:00-23:30", "יום שישי": "9:00-23:30", "יום שבת": "9:00-23:30", "יום ראשון": "9:00-23:30"}"
Tarbush Cafe & Restaurant	https://www.facebook.com/tarbushcafferestaurant	מסעדה	+972 4-811-1017	שדרות בן גוריון 36 חיפה	32.8195762	34.9901618	3.9	"{"יום שני": "9:00-2:00", "יום שלישי": "9:00-2:00", "יום רביעי": "9:00-2:00", "יום חמישי": "9:00-2:00", "יום שישי": "9:00-2:00", "יום שבת": "9:00-2:00", "יום ראשון": "9:00-2:00"}"
ג׳פניקה חיפה | JAPANIKA HAIFA	https://www.japanika.net/branch/%D7%97%D7%99%D7%A4%D7%94/	מסעדה אסייתית	+972 3-723-6100	שדרות הנשיא 122 חיפה	32.804688	34.987641	4.1	"{"יום שני": "12:00-0:00", "יום שלישי": "12:00-0:00", "יום רביעי": "12:00-0:00", "יום חמישי": "12:00-0:00", "יום שישי": "12:00-0:00", "יום שבת": "12:00-0:00", "יום ראשון": "12:00-0:00"}"
מסעדת אבו זיד	http://www.samak.co.il/	מסעדה	+972 4-852-3419	העליה 52 חיפה	32.832289	34.978425	4.3	"{"יום שני": "12:00-22:00", "יום שלישי": "12:00-22:00", "יום רביעי": "12:00-22:00", "יום חמישי": "12:00-22:00", "יום שישי": "12:00-22:00", "יום שבת": "12:00-22:00", "יום ראשון": "12:00-22:00"}"
רפאלו	http://www.raffaello.co.il/haifa	מסעדה איטלקית	+972 4-620-8757	קניון קסטרא פלימן 8 חיפה	32.788711	34.9682782	4.5	"{"יום שני": "12:00-23:00", "יום שלישי": "12:00-23:00", "יום רביעי": "12:00-23:00", "יום חמישי": "12:00-0:00", "יום שישי": "12:00-0:00", "יום שבת": "12:00-0:00", "יום ראשון": "12:00-23:00"}"
צ'אנג בה	http://changba.co.il/	מסעדה תאילנדית	+972 4-672-2891	הנמל 23 חיפה	32.8182617	35.0010762	4.5	"{"יום שני": "12:00-22:00", "יום שלישי": "12:00-22:00", "יום רביעי": "12:00-22:00", "יום חמישי": "12:00-22:00", "יום שישי": "12:00-22:00", "יום שבת": "12:00-22:00", "יום ראשון": "12:00-22:00"}"
סינטה בר - ביסטרו בר עירוני	http://www.sinta-bar.co.il/	ביסטרו	+972 4-666-1829	נתיב האור 1 חיפה	32.7852485	34.963989	4.3	"{"יום שני": "12:00-0:00", "יום שלישי": "12:00-0:00", "יום רביעי": "12:00-0:00", "יום חמישי": "12:00-0:30", "יום שישי": "12:00-0:30", "יום שבת": "12:00-0:30", "יום ראשון": "12:00-0:00"}"
ראסיף 33	https://raseef33.co.il/	מסעדת גורמה	+972 4-663-8071	הנמל 33 חיפה 3303132	32.8189031	35.0001716	4.5	"{"יום שני": "13:00-22:00", "יום שלישי": "13:00-22:00", "יום רביעי": "13:00-22:00", "יום חמישי": "13:00-23:00", "יום שישי": "13:00-23:00", "יום שבת": "13:00-23:00", "יום ראשון": "13:00-22:00"}"
מימינו	https://mimino.delivery/	מסעדה גאורגית	+972 4-811-3399	שדרות בן גוריון 15 חיפה 3502107	32.8215537	34.9917581	4	"{"יום שני": "12:00-22:00", "יום שלישי": "12:00-22:00", "יום רביעי": "12:00-22:00", "יום חמישי": "11:00-22:00", "יום שישי": "11:00-23:00", "יום שבת": "11:00-22:00", "יום ראשון": "12:00-22:00"}"
Zebra		מסעדה	+972 77-321-2290	טשרניחובסקי 39 חיפה	32.8198992	34.9740512	4.4	"{"יום שני": "9:00-23:00", "יום שלישי": "9:00-23:00", "יום רביעי": "9:00-23:00", "יום חמישי": "9:00-23:00", "יום שישי": "9:00-23:00", "יום שבת": "9:00-23:00", "יום ראשון": "סגור"}"
Mifgash Ha'Neviim		מסעדה		23 הנביאים 25 חיפה	32.8123216	34.9950101	4.5	"{"יום שני": "10:30-21:00", "יום שלישי": "10:30-21:00", "יום רביעי": "10:30-21:00", "יום חמישי": "10:30-21:00", "יום שישי": "11:00-17:00", "יום שבת": "סגור", "יום ראשון": "10:30-21:00"}"
סנגריה	http://www.sangria-restaurant-tapas.com/	מסעדה ספרדית	+972 77-330-1067	הבנקים 5 חיפה	32.8196885	34.996901	4.6	"{"יום שני": "סגור", "יום שלישי": "16:00-22:30", "יום רביעי": "16:00-22:30", "יום חמישי": "16:00-22:30", "יום שישי": "12:00-22:30", "יום שבת": "12:00-22:30", "יום ראשון": "16:00-22:30"}"
איזבלה	http://isabelabar.rest.co.il/	מסעדה	+972 53-944-3415	מחניים 8 חיפה	32.803735	34.985765	4.1	"{"יום שני": "12:00-21:00", "יום שלישי": "12:00-21:00", "יום רביעי": "12:00-21:00", "יום חמישי": "12:00-22:00", "יום שישי": "12:00-22:00", "יום שבת": "12:00-21:00", "יום ראשון": "סגור"}"
אגאדיר חיפה	http://www.agadir.co.il/	מסעדת המבורגרים	+972 3-711-3333	דוד פינסקי 6 חיפה	32.802066	34.983086	4.1	"{"יום שני": "12:00-0:00", "יום שלישי": "12:00-0:00", "יום רביעי": "12:00-0:00", "יום חמישי": "12:00-0:00", "יום שישי": "12:00-0:00", "יום שבת": "12:00-0:00", "יום ראשון": "12:00-0:00"}"
מסעדת קצבים Colony Grill	https://tabitisrael.co.il/%D7%94%D7%96%D7%9E%D7%A0%D7%AA-%D7%9E%D7%A7%D7%95%D7%9D/create-reservation?step=search	מסעדת בשרים	+972 4-855-2555	דרך אלנבי 56 חיפה	32.8187542	34.9893075	4.5	"{"יום שני": "12:00-22:00", "יום שלישי": "12:00-22:00", "יום רביעי": "12:00-22:00", "יום חמישי": "12:00-22:00", "יום שישי": "12:00-22:00", "יום שבת": "12:00-22:00", "יום ראשון": "12:00-22:00"}"
מסעדת מירבלה Mirabella	https://www.mirabellla.com/	מסעדה	+972 4-833-3380	שדרות בן גוריון 40 חיפה 3502333	32.8190876	34.9896929	4.1	"{"יום שני": "9:00-1:30", "יום שלישי": "9:00-1:30", "יום רביעי": "9:00-1:30", "יום חמישי": "9:00-1:30", "יום שישי": "9:00-2:30", "יום שבת": "9:00-2:30", "יום ראשון": "9:00-1:30"}"
אליקה	https://www.facebook.com/elika.artbarcafe	בית קפה	+972 4-864-3274	מסדה 24 חיפה	32.8098542	34.9930835	4.5	"{"יום שני": "7:00-1:00", "יום שלישי": "7:00-1:00", "יום רביעי": "7:00-1:00", "יום חמישי": "7:00-1:00", "יום שישי": "7:00-1:00", "יום שבת": "7:00-1:00", "יום ראשון": "7:00-1:00"}"
נירוונה פרש קיטשן	https://nirvanabeach.co.il/	מסעדה	+972 4-850-1444	חוף דדו דוד אלעזר 2 חיפה	32.8004608	34.9564781	4.2	"{"יום שני": "9:00-23:00", "יום שלישי": "9:00-23:00", "יום רביעי": "9:00-23:00", "יום חמישי": "9:00-23:00", "יום שישי": "8:30-0:00", "יום שבת": "8:30-0:00", "יום ראשון": "9:00-23:00"}"
יאן יאן	https://yanyan.co.il/	מסעדה סינית	+972 4-866-0022	דרך יפו 26 חיפה	32.8191469	34.9986286	4.2	"{"יום שני": "סגור", "יום שלישי": "12:00-22:00", "יום רביעי": "12:00-22:00", "יום חמישי": "12:00-22:00", "יום שישי": "12:00-22:00", "יום שבת": "12:00-22:00", "יום ראשון": "12:00-22:00"}"
קפה גלידה יונק מסעדה רומנית	http://www.glida.com/	מסעדה רומנית	+972 4-866-7929	קיבוץ גלויות 23 חיפה	32.8103652	35.0044828	4.4	"{"יום שני": "11:30-21:00", "יום שלישי": "11:30-21:00", "יום רביעי": "11:30-21:00", "יום חמישי": "11:30-21:00", "יום שישי": "11:30-17:00", "יום שבת": "סגור", "יום ראשון": "11:30-21:00"}"
ליבירה	https://libira.co.il/	מסעדה	+972 4-374-0251	הנמל 26 חיפה	32.8192117	35.0005629	4.3	"{"יום שני": "12:00-23:00", "יום שלישי": "12:00-23:00", "יום רביעי": "12:00-23:00", "יום חמישי": "12:00-0:30", "יום שישי": "12:00-1:00", "יום שבת": "12:00-23:00", "יום ראשון": "12:00-23:00"}"
Chill Meal Haifa		מסעדת גורמה	+972 4-907-9797	הנמל 27 חיפה 3303127	32.8184404	35.0008502	4.6	"{"יום שני": "8:00-2:00", "יום שלישי": "8:00-2:00", "יום רביעי": "8:00-2:00", "יום חמישי": "8:00-2:00", "יום שישי": "8:00-2:00", "יום שבת": "8:00-2:00", "יום ראשון": "8:00-2:00"}"
סטקיית הבוקרים חיפה	http://www.habokrim.rest.co.il/	סטקייה	+972 4-850-1111	תחנת דלק פז Kdoshey Yassi St 1 3508201	32.790615	34.9639739	4.3	"{"יום שני": "12:00-22:00", "יום שלישי": "12:00-22:00", "יום רביעי": "12:00-22:00", "יום חמישי": "12:00-22:00", "יום שישי": "12:00-23:00", "יום שבת": "12:00-22:00", "יום ראשון": "12:00-22:00"}"
תלפיות	https://talpiot.kitchen/	מסעדת מאכלי ים	+972 4-699-2296	סירקין 28 חיפה	32.8093105	35.0011662	4.3	"{"יום שני": "12:30-22:30", "יום שלישי": "12:30-22:30", "יום רביעי": "12:30-22:30", "יום חמישי": "12:30-22:30", "יום שישי": "12:30-17:30", "יום שבת": "סגור", "יום ראשון": "12:30-22:30"}"
ביסטרו בר ים	https://ontopo.co.il/bar-yam?source=google	מסעדה	+972 74-741-9386	הנמל 21 חיפה 3303121	32.8181779	35.0012519	4.6	"{"יום שני": "סגור", "יום שלישי": "סגור", "יום רביעי": "18:00-23:00", "יום חמישי": "18:00-23:00", "יום שישי": "18:00-23:00", "יום שבת": "18:00-23:00", "יום ראשון": "סגור"}"
Rive west ריב ווסט	https://rivewest.co.il/	מסעדה	+972 50-909-0556	דרך יפו 48 חיפה 3341208	32.820439	34.9964747	4.7	"{"יום שני": "18:00-23:00", "יום שלישי": "18:00-23:00", "יום רביעי": "18:00-23:00", "יום חמישי": "12:00-23:30", "יום שישי": "10:00-23:30", "יום שבת": "10:00-23:00", "יום ראשון": "סגור"}"
חומוס אלשאם	https://www.facebook.com/%D7%97%D7%95%D7%9E%D7%95%D7%A1-%D7%90%D7%9C%D7%A9%D7%90%D7%9D-%D8%AD%D9%85%D8%B5-%D8%A7%D9%84%D8%B4%D8%A7%D9%85-hummus-elsham-1801180406832732/	מסעדה	+972 4-838-2520	ואדי 21 חיפה	32.8170166	34.99385	4.8	"{"יום שני": "8:00-16:00", "יום שלישי": "8:00-16:00", "יום רביעי": "8:00-16:00", "יום חמישי": "8:00-16:00", "יום שישי": "8:00-15:00", "יום שבת": "8:00-16:00", "יום ראשון": "סגור"}"
מנהטן דיינר	http://www.manhattanisrael.com/	מסעדה	+972 77-635-0073	קדושי בגדד 34 חיפה	32.8204302	35.0000006	4.6	"{"יום שני": "11:00-23:00", "יום שלישי": "11:00-23:00", "יום רביעי": "11:00-23:00", "יום חמישי": "11:00-2:45", "יום שישי": "11:00-2:45", "יום שבת": "סגור", "יום ראשון": "11:00-23:00"}"
אלבית ביתק	https://www.haaretz.co.il/food/restaurant-guide/.premium-MAGAZINE-1.6511633	מסעדה	+972 54-575-9288	יוחנן הקדוש 34 חיפה	32.8167241	34.9940949	4.5	"{"יום שני": "7:30-17:30", "יום שלישי": "7:30-17:30", "יום רביעי": "7:30-17:30", "יום חמישי": "7:30-17:30", "יום שישי": "7:30-17:30", "יום שבת": "7:30-17:30", "יום ראשון": "סגור"}"
Ewar restaurant מסעדת בשרים בחיפה	https://israelbusinessguide.com/catalog/hayfa/ewar_restaurant___/	מסעדה	+972 53-941-5294	coral building David Elazar St 10 Haifa 3508107	32.8059388	34.9566327	4.1	"{"יום שני": "12:00-0:00", "יום שלישי": "12:00-0:00", "יום רביעי": "12:00-0:00", "יום חמישי": "12:00-0:00", "יום שישי": "12:00-0:00", "יום שבת": "12:00-0:00", "יום ראשון": "12:00-0:00"}"
מסעדת האם נבילה	https://www.facebook.com/pg/%D7%9E%D7%A1%D7%A2%D7%93%D7%AA-%D7%94%D7%90%D7%9D-%D7%A0%D7%91%D7%99%D7%9C%D7%94-550290761694377/about/?ref=page_internal	מסעדה לבנונית	+972 4-852-1792	תל אביב 1 חיפה	32.8244255	34.9898823	4.3	"{"יום שני": "8:00-15:30", "יום שלישי": "8:00-15:30", "יום רביעי": "8:00-15:30", "יום חמישי": "8:00-15:30", "יום שישי": "8:00-15:30", "יום שבת": "8:00-17:00", "יום ראשון": "8:00-15:30"}"
חומוס אבו שאקר	https://israelbusinessguide.com/catalog/hayfa/abu_shaker/	מסעדה מזרח תיכונית	+972 54-446-6181	שדרות המגינים 29 חיפה	32.817982	34.9984157	4.4	"{"יום שני": "7:00-18:00", "יום שלישי": "7:00-18:00", "יום רביעי": "7:00-18:00", "יום חמישי": "7:00-18:00", "יום שישי": "7:00-18:00", "יום שבת": "7:00-18:00", "יום ראשון": "7:00-18:00"}"
מסעדת קינגדום	http://www.cmenu.co.il/menu/index.asp?castID=12967	מסעדה	+972 4-613-7774	שדרות בן גוריון 46 חיפה	32.818437	34.9893057	4.1	"{"יום שני": "12:00-0:00", "יום שלישי": "12:00-0:00", "יום רביעי": "12:00-0:00", "יום חמישי": "12:00-0:00", "יום שישי": "12:00-0:00", "יום שבת": "12:00-0:00", "יום ראשון": "12:00-0:00"}"
פלאפל אוריון	https://rani98od.wixsite.com/falafelorion	מסעדת פלאפל	+972 52-805-5532	הרצליה 14 חיפה	32.8126684	34.9932052	4.4	"{"יום שני": "9:00-0:00", "יום שלישי": "9:00-0:00", "יום רביעי": "9:00-0:00", "יום חמישי": "9:00-0:00", "יום שישי": "9:00-0:00", "יום שבת": "9:00-0:00", "יום ראשון": "9:00-0:00"}"
שווארמה חאזן	https://www.facebook.com/ShawarmaKhazan	מסעדת שווארמה	+972 4-855-8075	דרך יפו 140 חיפה	32.8270507	34.9873191	4.3	"{"יום שני": "10:00-22:00", "יום שלישי": "10:00-22:00", "יום רביעי": "10:00-22:00", "יום חמישי": "10:00-22:00", "יום שישי": "10:00-22:00", "יום שבת": "10:00-22:00", "יום ראשון": "סגור"}"
פאפיאנו חיפה	https://papiano.co.il/	מסעדה כשרה	+972 77-805-1976	אוסקר שינדלר 7 חיפה	32.7669398	35.0130596	4.8	"{"יום שני": "12:00-22:00", "יום שלישי": "12:00-22:00", "יום רביעי": "12:00-22:00", "יום חמישי": "12:00-23:00", "יום שישי": "סגור", "יום שבת": "19:00-22:00", "יום ראשון": "12:00-22:00"}"
פיצה לינגה	http://www.pizzalinga.com/	פיצרייה	+972 4-676-0244	Derech Jaffa 40 Haifa 3326111	32.8196128	34.997364	4.5	"{"יום שני": "12:00-23:00", "יום שלישי": "12:00-23:00", "יום רביעי": "12:00-23:00", "יום חמישי": "12:00-0:00", "יום שישי": "12:00-0:00", "יום שבת": "12:00-0:00", "יום ראשון": "12:00-23:00"}"
ששון הבר באחוזה	http://www.sasson-bar.co.il/	מסעדה	+972 4-630-6234	חורב 10 חיפה 3434114	32.7857389	34.9857333	4.3	"{"יום שני": "12:00-0:00", "יום שלישי": "12:00-0:00", "יום רביעי": "12:00-0:00", "יום חמישי": "12:00-0:00", "יום שישי": "12:00-0:00", "יום שבת": "12:00-0:00", "יום ראשון": "12:00-0:00"}"
Millhouse Café	http://millhousehaifa.com/	בית קפה	+972 4-887-1181	שדרות בת גלים 14 חיפה	32.8323312	34.9777078	4.6	"{"יום שני": "9:00-16:00", "יום שלישי": "9:00-16:00", "יום רביעי": "9:00-16:00", "יום חמישי": "9:00-16:00", "יום שישי": "9:00-16:00", "יום שבת": "9:00-16:00", "יום ראשון": "סגור"}"
Restaurant Bogema Haifa	https://israelbusinessguide.com/catalog/hayfa/restoran_bogema_hayfa/	מסעדה	+972 54-442-2396	שדרות ההסתדרות 31 חיפה	32.7910192	35.0330118	4.2	"{"יום שני": "0:00-22:00", "יום שלישי": "0:00-22:00", "יום רביעי": "0:00-22:00", "יום חמישי": "9:00-22:00", "יום שישי": "20:00-2:00", "יום שבת": "9:00-18:00", "יום ראשון": "סגור"}"
חומוס ברדיצ'ב	https://hummusbardichev.co.il/	מסעדת מזון מהיר	+972 4-657-4132	שדרות הנשיא 139 חיפה 3457127	32.802621	34.985438	4.6	"{"יום שני": "11:00-20:00", "יום שלישי": "11:00-20:00", "יום רביעי": "11:00-20:00", "יום חמישי": "11:00-21:00", "יום שישי": "9:00-14:30", "יום שבת": "סגור", "יום ראשון": "11:00-20:00"}"
חאלד עדוי	https://www.khaled-adawi.co.il/	מסעדה ישראלית	+972 4-832-2924	תחנת דלק סונול רב אלוף יעקב דורי 20 חיפה	32.781494	35.0242428	4	"{"יום שני": "9:00-20:00", "יום שלישי": "9:00-20:00", "יום רביעי": "9:00-20:00", "יום חמישי": "9:00-20:00", "יום שישי": "9:00-20:00", "יום שבת": "9:00-20:00", "יום ראשון": "10:00-18:00"}"
לנדוור	https://www.landwercafe.co.il/	בית קפה	+972 4-600-0330	שדרות הנשיא 134 חיפה	32.8032559	34.9856884	3.8	"{"יום שני": "8:00-23:00", "יום שלישי": "8:00-23:00", "יום רביעי": "8:00-23:00", "יום חמישי": "8:00-0:00", "יום שישי": "8:00-2:00", "יום שבת": "8:00-0:00", "יום ראשון": "8:00-23:00"}"
נאופוליטן	https://tabitisrael.co.il/site/neopolitan	מסעדה	+972 4-616-6950	הנמל 37 חיפה	32.8192131	35.0002983	4.7	"{"יום שני": "18:00-22:30", "יום שלישי": "18:00-22:30", "יום רביעי": "סגור", "יום חמישי": "18:00-22:30", "יום שישי": "12:00-16:00", "יום שבת": "18:00-22:30", "יום ראשון": "18:00-22:30"}"
פרנג'ליקו	https://frangelicobar.com/branches/moshava/	מסעדת סושי	+972 4-638-4480	שדרות בן גוריון 22 חיפה	32.8211413	34.9909322	3.6	"{"יום שני": "12:00-23:30", "יום שלישי": "12:00-23:30", "יום רביעי": "12:00-23:30", "יום חמישי": "12:00-23:30", "יום שישי": "12:00-0:00", "יום שבת": "12:00-0:00", "יום ראשון": "12:00-23:30"}"
Eataliano Deli Caffe - איטליאנו דלי קפה 046601011	https://tabitisrael.co.il/%D7%94%D7%96%D7%9E%D7%A0%D7%AA-%D7%9E%D7%A7%D7%95%D7%9D/create-reservation?step=search	מסעדה איטלקית	+972 4-660-1011	שדרות הנשיא 109 חיפה 3464103	32.8062584	34.987423	4.6	"{"יום שני": "9:00-22:30", "יום שלישי": "9:00-22:00", "יום רביעי": "9:00-22:30", "יום חמישי": "9:00-22:30", "יום שישי": "8:30-23:00", "יום שבת": "8:30-23:00", "יום ראשון": "9:00-22:30"}"
